etf,ticker,name,weight_pct,sector,location
EMRG,2330,TAIWAN SEMICONDUCTOR MANUFACTURING,13.96,Information Technology,Taiwan
EMRG,005930,SAMSUNG ELECTRONICS LTD,5.77,Information Technology,Korea (South)
EMRG,000660,SK HYNIX INC,3.55,Information Technology,Korea (South)
EMRG,700,TENCENT HOLDINGS LTD,3.51,Communication,China
EMRG,9988,ALIBABA GROUP HOLDING LTD,2.38,Consumer Discretionary,China
EMRG,2308,DELTA ELECTRONICS INC,0.94,Information Technology,Taiwan
EMRG,939,CHINA CONSTRUCTION BANK CORP H,0.91,Financials,China
EMRG,HDFCBANK,HDFC BANK LTD,0.85,Financials,India
EMRG,RELIANCE,RELIANCE INDUSTRIES LTD,0.75,Energy,India
EMRG,2454,MEDIATEK INC,0.72,Information Technology,Taiwan
EMRG,2317,HON HAI PRECISION INDUSTRY LTD,0.72,Information Technology,Taiwan
EMRG,005935,SAMSUNG ELECTRONICS NON VOTING PRE,0.68,Information Technology,Korea (South)
EMRG,ICICIBANK,ICICI BANK LTD,0.67,Financials,India
EMRG,PDD,PDD HOLDINGS ADS INC,0.63,Consumer Discretionary,China
EMRG,1810,XIAOMI CORP,0.59,Information Technology,China
EMRG,VALE3,CIA VALE DO RIO DOCE SH,0.56,Materials,Brazil
EMRG,1398,INDUSTRIAL AND COMMERCIAL BANK OF,0.51,Financials,China
EMRG,1120,AL RAJHI BANK,0.49,Financials,Saudi Arabia
EMRG,ANG,ANGLOGOLD ASHANTI PLC,0.48,Materials,South Africa
EMRG,2318,PING AN INSURANCE (GROUP) CO OF CH,0.47,Financials,China
EMRG,3690,MEITUAN,0.47,Consumer Discretionary,China
EMRG,1211,BYD LTD H,0.45,Consumer Discretionary,China
EMRG,BHARTIARTL,BHARTI AIRTEL LTD,0.45,Communication,India
EMRG,NU,NU HOLDINGS CLASS A,0.45,Financials,Brazil
EMRG,ITUB4,ITAU UNIBANCO HOLDING PREF SA,0.44,Financials,Brazil
EMRG,3988,BANK OF CHINA LTD H,0.41,Financials,China
EMRG,GFI,GOLD FIELDS LTD,0.39,Materials,South Africa
EMRG,3711,ASE TECHNOLOGY HOLDING LTD,0.39,Information Technology,Taiwan
EMRG,INFY,INFOSYS LTD,0.39,Information Technology,India
EMRG,NPN,NASPERS LIMITED LTD CLASS N,0.38,Consumer Discretionary,South Africa
EMRG,PETR4,PETROLEO BRASILEIRO PREF SA,0.38,Energy,Brazil
EMRG,005380,HYUNDAI MOTOR,0.38,Consumer Discretionary,Korea (South)
EMRG,2222,SAUDI ARABIAN OIL,0.38,Energy,Saudi Arabia
EMRG,PETR3,PETROLEO BRASILEIRO SA PETROBRAS,0.35,Energy,Brazil
EMRG,402340,SK SQUARE LTD,0.35,Industrials,Korea (South)
EMRG,9999,NETEASE INC,0.34,Communication,China
EMRG,105560,KB FINANCIAL GROUP INC,0.33,Financials,Korea (South)
EMRG,GMEXICOB,GRUPO MEXICO B,0.33,Materials,Mexico
EMRG,9618,JD.COM CLASS A INC,0.31,Consumer Discretionary,China
EMRG,1180,THE SAUDI NATIONAL BANK,0.3,Financials,Saudi Arabia
EMRG,2383,ELITE MATERIAL LTD,0.3,Information Technology,Taiwan
EMRG,012450,HANWHA AEROSPACE LTD,0.3,Industrials,Korea (South)
EMRG,AXISBANK,AXIS BANK LTD,0.29,Financials,India
EMRG,OTP,OTP BANK,0.28,Financials,Hungary
EMRG,9888,BAIDU CLASS A INC,0.28,Communication,China
EMRG,M&M,MAHINDRA AND MAHINDRA LTD,0.28,Consumer Discretionary,India
EMRG,9961,TRIP.COM GROUP LTD,0.28,Consumer Discretionary,China
EMRG,DELTA.R,DELTA ELECTRONICS (THAILAND) NON-V,0.27,Information Technology,Thailand
EMRG,034020,DOOSAN ENERBILITY LTD,0.26,Industrials,Korea (South)
EMRG,857,PETROCHINA LTD H,0.26,Energy,China
EMRG,2345,ACCTON TECHNOLOGY CORP,0.26,Information Technology,Taiwan
EMRG,KFH,KUWAIT FINANCE HOUSE,0.26,Financials,Kuwait
EMRG,055550,SHINHAN FINANCIAL GROUP LTD,0.25,Financials,Korea (South)
EMRG,LT,LARSEN AND TOUBRO LTD,0.25,Industrials,India
EMRG,2891,CTBC FINANCIAL HOLDING LTD,0.25,Financials,Taiwan
EMRG,GFNORTEO,GPO FINANCE BANORTE,0.25,Financials,Mexico
EMRG,2899,ZIJIN MINING GROUP LTD H,0.25,Materials,China
EMRG,BAJFINANCE,BAJAJ FINANCE LTD,0.24,Financials,India
EMRG,2382,QUANTA COMPUTER INC,0.24,Information Technology,Taiwan
EMRG,FSR,FIRSTRAND LTD,0.24,Financials,South Africa
EMRG,1211,SAUDI ARABIAN MINING,0.23,Materials,Saudi Arabia
EMRG,2628,CHINA LIFE INSURANCE LTD H,0.23,Financials,China
EMRG,SBK,STANDARD BANK GROUP,0.23,Financials,South Africa
EMRG,3968,CHINA MERCHANTS BANK LTD H,0.22,Financials,China
EMRG,3037,UNIMICRON TECHNOLOGY CORP,0.22,Information Technology,Taiwan
EMRG,VAL,VALTERRA PLATINUM LTD,0.22,Materials,South Africa
EMRG,PKO,POWSZECHNA KASA OSZCZEDNOSCI BANK,0.22,Financials,Poland
EMRG,NBK,NATIONAL BANK OF KUWAIT,0.22,Financials,Kuwait
EMRG,3017,ASIA VITAL COMPONENTS LTD,0.21,Information Technology,Taiwan
EMRG,BAP,CREDICORP LTD,0.21,Financials,Peru
EMRG,000270,KIA CORPORATION CORP,0.21,Consumer Discretionary,Korea (South)
EMRG,AMXB,AMERICA MOVIL B,0.21,Communication,Mexico
EMRG,TCS,TATA CONSULTANCY SERVICES LTD,0.21,Information Technology,India
EMRG,2360,CHROMA ATE INC,0.2,Information Technology,Taiwan
EMRG,FAB,FIRST ABU DHABI BANK,0.2,Financials,United Arab Emirates
EMRG,2881,FUBON FINANCIAL HOLDING LTD,0.2,Financials,Taiwan
EMRG,086790,HANA FINANCIAL GROUP INC,0.2,Financials,Korea (South)
