etf,ticker,name,weight_pct,sector,location
XNAS,NVDA,NVIDIA CORP,9.04,Information Technology,United States
XNAS,AAPL,APPLE INC,7.28,Information Technology,United States
XNAS,MSFT,MICROSOFT CORP,5.17,Information Technology,United States
XNAS,AMZN,AMAZON.COM INC,4.68,Consumer Discretionary,United States
XNAS,GOOGL,ALPHABET INC CLASS A,3.82,Communication,United States
XNAS,MU,MICRON TECHNOLOGY INC,3.72,Information Technology,United States
XNAS,GOOG,ALPHABET INC CLASS C,3.53,Communication,United States
XNAS,TSLA,TESLA INC,3.48,Consumer Discretionary,United States
XNAS,AVGO,BROADCOM INC,3.33,Information Technology,United States
XNAS,AMD,ADVANCED MICRO DEVICES INC,3.15,Information Technology,United States
XNAS,META,META PLATFORMS INC CLASS A,2.99,Communication,United States
XNAS,WMT,WALMART INC,2.93,Consumer Staples,United States
XNAS,INTC,INTEL CORPORATION CORP,2.48,Information Technology,United States
XNAS,CSCO,CISCO SYSTEMS INC,2.13,Information Technology,United States
XNAS,COST,COSTCO WHOLESALE CORP,2.12,Consumer Staples,United States
XNAS,NFLX,NETFLIX INC,1.68,Communication,United States
XNAS,LRCX,LAM RESEARCH CORP,1.62,Information Technology,United States
XNAS,AMAT,APPLIED MATERIAL INC,1.58,Information Technology,United States
XNAS,PLTR,PALANTIR TECHNOLOGIES INC CLASS A,1.4,Information Technology,United States
XNAS,TXN,TEXAS INSTRUMENT INC,1.25,Information Technology,United States
XNAS,KLAC,KLA CORP,1.08,Information Technology,United States
XNAS,LIN,LINDE PLC,1.07,Materials,United States
XNAS,QCOM,QUALCOMM INC,0.98,Information Technology,United States
XNAS,SNDK,SANDISK CORP,0.95,Information Technology,United States
XNAS,TMUS,T MOBILE US INC,0.93,Communication,United States
XNAS,ADI,ANALOG DEVICES INC,0.93,Information Technology,United States
XNAS,PEP,PEPSICO INC,0.93,Consumer Staples,United States
XNAS,PANW,PALO ALTO NETWORKS INC,0.9,Information Technology,United States
XNAS,AMGN,AMGEN INC,0.8,Health Care,United States
XNAS,STX,SEAGATE TECHNOLOGY HOLDINGS PLC,0.79,Information Technology,United States
XNAS,WDC,WESTERN DIGITAL CORP,0.74,Information Technology,United States
XNAS,GILD,GILEAD SCIENCES INC,0.73,Health Care,United States
XNAS,MRVL,MARVELL TECHNOLOGY INC,0.7,Information Technology,United States
XNAS,APP,APPLOVIN CORP CLASS A,0.7,Information Technology,United States
XNAS,ISRG,INTUITIVE SURGICAL INC,0.68,Health Care,United States
XNAS,CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,0.68,Information Technology,United States
XNAS,HON,HONEYWELL INTERNATIONAL INC,0.62,Industrials,United States
XNAS,ASML,ASML HOLDING ADR REPRESENTING NV,0.6,Information Technology,Netherlands
XNAS,SHOP,SHOPIFY SUBORDINATE VOTING INC CLA,0.56,Information Technology,Canada
XNAS,BKNG,BOOKING HOLDINGS INC,0.56,Consumer Discretionary,United States
XNAS,SBUX,STARBUCKS CORP,0.55,Consumer Discretionary,United States
XNAS,VRTX,VERTEX PHARMACEUTICALS INC,0.51,Health Care,United States
XNAS,INTU,INTUIT INC,0.5,Information Technology,United States
XNAS,ADBE,ADOBE INC,0.46,Information Technology,United States
XNAS,CEG,CONSTELLATION ENERGY CORP,0.44,Utilities,United States
XNAS,CDNS,CADENCE DESIGN SYSTEMS INC,0.44,Information Technology,United States
XNAS,SNPS,SYNOPSYS INC,0.44,Information Technology,United States
XNAS,MAR,MARRIOTT INTERNATIONAL INC CLASS A,0.43,Consumer Discretionary,United States
XNAS,FTNT,FORTINET INC,0.42,Information Technology,United States
XNAS,CMCSA,COMCAST CORP CLASS A,0.41,Communication,United States
XNAS,ADP,AUTOMATIC DATA PROCESSING INC,0.39,Industrials,United States
XNAS,MNST,MONSTER BEVERAGE CORP,0.39,Consumer Staples,United States
XNAS,CSX,CSX CORP,0.38,Industrials,United States
XNAS,MELI,MERCADOLIBRE INC,0.36,Consumer Discretionary,United States
XNAS,MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,0.35,Consumer Staples,United States
XNAS,MPWR,MONOLITHIC POWER SYSTEMS INC,0.35,Information Technology,United States
XNAS,ORLY,OREILLY AUTOMOTIVE INC,0.34,Consumer Discretionary,United States
XNAS,NXPI,NXP SEMICONDUCTORS NV,0.33,Information Technology,United States
XNAS,REGN,REGENERON PHARMACEUTICALS INC,0.33,Health Care,United States
XNAS,LITE,LUMENTUM HOLDINGS INC,0.32,Information Technology,United States
XNAS,ROST,ROSS STORES INC,0.32,Consumer Discretionary,United States
XNAS,DDOG,DATADOG INC CLASS A,0.31,Information Technology,United States
XNAS,AEP,AMERICAN ELECTRIC POWER INC,0.31,Utilities,United States
XNAS,WBD,WARNER BROS. DISCOVERY INC SERIES,0.31,Communication,United States
XNAS,CTAS,CINTAS CORP,0.3,Industrials,United States
XNAS,DASH,DOORDASH INC CLASS A,0.29,Consumer Discretionary,United States
XNAS,PDD,PDD HOLDINGS ADS INC,0.29,Consumer Discretionary,China
XNAS,USD,USD CASH,0.29,Cash and/or Derivatives,United States
XNAS,BKR,BAKER HUGHES CLASS A,0.29,Energy,United States
XNAS,PCAR,PACCAR INC,0.27,Industrials,United States
XNAS,FANG,DIAMONDBACK ENERGY INC,0.26,Energy,United States
XNAS,ABNB,AIRBNB INC CLASS A,0.26,Consumer Discretionary,United States
XNAS,MSTR,STRATEGY INC CLASS A,0.25,Information Technology,United States
XNAS,MCHP,MICROCHIP TECHNOLOGY INC,0.23,Information Technology,United States
XNAS,EA,ELECTRONIC ARTS INC,0.23,Communication,United States
XNAS,ADSK,AUTODESK INC,0.23,Information Technology,United States
XNAS,FAST,FASTENAL,0.23,Industrials,United States
XNAS,XEL,XCEL ENERGY INC,0.22,Utilities,United States
XNAS,FER,FERROVIAL NV,0.22,Industrials,Spain
XNAS,EXC,EXELON CORP,0.2,Utilities,United States
XNAS,TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,0.2,Communication,United States
XNAS,ODFL,OLD DOMINION FREIGHT LINE INC,0.19,Industrials,United States
XNAS,IDXX,IDEXX LABORATORIES INC,0.19,Health Care,United States
XNAS,PYPL,PAYPAL HOLDINGS INC,0.19,Financials,United States
XNAS,CCEP,COCA COLA EUROPACIFIC PARTNERS PLC,0.19,Consumer Staples,Netherlands
XNAS,KDP,KEURIG DR PEPPER INC,0.18,Consumer Staples,United States
XNAS,ALNY,ALNYLAM PHARMACEUTICALS INC,0.18,Health Care,United States
XNAS,TRI,THOMSON REUTERS CORP,0.17,Industrials,Canada
XNAS,ROP,ROPER TECHNOLOGIES INC,0.15,Information Technology,United States
XNAS,PAYX,PAYCHEX INC,0.15,Industrials,United States
XNAS,AXON,AXON ENTERPRISE INC,0.14,Industrials,United States
XNAS,CPRT,COPART INC,0.14,Industrials,United States
XNAS,ARM,ARM HOLDINGS AMERICAN DEPOSITARY S,0.13,Information Technology,United Kingdom
XNAS,KHC,KRAFT HEINZ,0.13,Consumer Staples,United States
XNAS,GEHC,GE HEALTHCARE TECHNOLOGIES INC,0.12,Health Care,United States
XNAS,WDAY,WORKDAY INC CLASS A,0.12,Information Technology,United States
XNAS,ZS,ZSCALER INC,0.12,Information Technology,United States
XNAS,DXCM,DEXCOM INC,0.11,Health Care,United States
XNAS,INSM,INSMED INC,0.11,Health Care,United States
XNAS,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,0.1,Information Technology,United States
XNAS,VRSK,VERISK ANALYTICS INC,0.1,Industrials,United States
XNAS,CHTR,CHARTER COMMUNICATIONS INC CLASS A,0.08,Communication,United States
XNAS,MLIFT,CASH COLLATERAL USD MLIFT,0.02,Cash and/or Derivatives,United States
XNAS,EUR,EUR CASH,0.01,Cash and/or Derivatives,European Union
